Data,Fechamento,Abertura,Maxima,Minima,Volume,Variacao,Retorno_%,MM9,RSI
2000-01-20,3.88,3.98,3.98,3.87,328720.0,-1.27,-1.2722646310432628,3.975555555555556,21.950844741675127
2000-01-21,3.84,3.88,3.94,3.81,219190.0,-1.03,-1.0309278350515427,3.942222222222222,20.92989183897004
2000-01-24,3.81,3.84,3.88,3.81,230100.0,-0.78,-0.78125,3.9166666666666665,28.570793664902663
2000-01-26,3.86,3.81,3.88,3.78,324720.0,1.31,1.3123359580052396,3.9044444444444446,35.38385327085261
2000-01-27,3.85,3.89,3.97,3.82,480160.0,-0.26,-0.2590673575129432,3.895555555555556,35.38385327085261
2000-01-28,3.79,3.87,3.87,3.79,224110.0,-1.56,-1.558441558441559,3.873333333333333,30.43416510389646
2000-01-31,3.76,3.78,3.83,3.74,403710.0,-0.79,-0.7915567282322011,3.8533333333333335,20.31205567378213
2000-02-01,3.84,3.76,3.86,3.76,296250.0,2.13,2.127659574468077,3.84,33.87020293090154
2000-02-02,3.91,3.89,3.92,3.86,217760.0,1.82,1.822916666666674,3.8377777777777777,45.16027057453541
2000-02-03,4.08,3.93,4.09,3.93,324980.0,4.35,4.347826086956519,3.86,59.99888002090626
2000-02-04,4.12,4.08,4.18,4.08,265640.0,0.98,0.9803921568627416,3.891111111111112,58.9029799428504
2000-02-07,4.19,4.12,4.19,4.1,257910.00000000003,1.7,1.6990291262136026,3.933333333333333,66.66542224545144
2000-02-08,4.24,4.2,4.29,4.2,394170.0,1.19,1.193317422434359,3.975555555555556,67.94749837823426
2000-02-09,4.15,4.29,4.29,4.08,195620.0,-2.12,-2.122641509433953,4.0088888888888885,63.09418652546268
2000-02-10,4.06,4.14,4.15,4.0,232900.0,-2.17,-2.1686746987952032,4.038888888888889,60.226314581358906
2000-02-11,3.84,4.08,4.11,3.76,316720.0,-5.42,-5.418719211822653,4.047777777777778,49.99933963136336
2000-02-14,3.83,3.87,3.92,3.81,126700.0,-0.26,-0.2604166666666629,4.046666666666667,50.960852450063165
2000-02-15,3.95,3.87,3.97,3.87,419960.0,3.13,3.1331592689294974,4.051111111111111,54.05337229980884
2000-02-16,4.2,3.99,4.26,3.99,920500.0,6.33,6.329113924050622,4.064444444444444,62.96231002048867
2000-02-17,4.15,4.17,4.24,4.13,267980.0,-1.19,-1.1904761904761862,4.067777777777778,63.432173096699
2000-02-18,4.1,4.11,4.14,4.06,281400.0,-1.2,-1.2048192771084487,4.057777777777778,62.49935662427003
2000-02-21,4.1,4.1,4.19,4.04,233930.0,0.0,0.0,4.042222222222223,60.15559204821195
2000-02-22,4.08,4.23,4.23,4.07,281600.0,-0.49,-0.4878048780487698,4.0344444444444445,56.90992135048868
2000-02-23,4.11,4.11,4.18,4.09,254670.0,0.74,0.7352941176470562,4.04,51.3754869203515
2000-02-24,4.22,4.15,4.22,4.08,412180.0,2.68,2.676399026763976,4.082222222222223,54.30968936581798
2000-02-25,4.33,4.22,4.35,4.19,462880.0,2.61,2.6066350710900466,4.137777777777777,55.83268195204388
2000-02-28,4.23,4.29,4.29,4.2,152420.0,-2.31,-2.3094688221708903,4.1688888888888895,49.59944448622176
2000-02-29,4.24,4.29,4.29,4.23,313320.0,0.24,0.236406619385332,4.173333333333334,53.84550954091147
2000-03-01,4.36,4.24,4.36,4.23,333430.0,2.83,2.830188679245293,4.196666666666667,62.499270841840215
2000-03-02,4.23,4.35,4.43,4.23,323030.0,-2.98,-2.981651376146788,4.211111111111111,67.56671537476107
2000-03-03,4.46,4.27,4.46,4.25,165660.0,5.44,5.437352245862881,4.251111111111111,73.68343491121146
2000-03-08,4.57,4.43,4.58,4.34,104560.0,2.47,2.4663677130045025,4.305555555555555,73.48406910835796
2000-03-09,4.72,4.6,4.76,4.6,270500.0,3.28,3.2822757111597323,4.373333333333333,71.31065709082027
2000-03-10,4.59,4.71,4.71,4.52,184950.0,-2.75,-2.754237288135586,4.414444444444445,66.92235622077916
2000-03-13,4.41,4.57,4.57,4.37,258160.00000000003,-3.92,-3.9215686274509776,4.423333333333334,60.83856521684407
2000-03-14,4.29,4.45,4.45,4.26,358340.0,-2.72,-2.7210884353741527,4.43,56.128525290739326
2000-03-15,4.38,4.29,4.38,4.24,331440.0,2.1,2.0979020979021046,4.445555555555555,59.2587471466296
2000-03-16,4.37,4.41,4.42,4.35,291590.0,-0.23,-0.2283105022831022,4.446666666666666,58.124491410700166
2000-03-17,4.33,4.35,4.36,4.33,230720.0,-0.92,-0.9153318077803174,4.457777777777778,53.59428083664595
2000-03-20,4.2,4.33,4.35,4.2,200500.0,-3.0,-3.002309468822173,4.428888888888888,45.80603788094817
2000-03-21,4.28,4.22,4.31,4.21,320450.0,1.9,1.904761904761898,4.3966666666666665,51.63351446457352
2000-03-22,4.29,4.34,4.34,4.28,314430.0,0.23,0.2336448598130758,4.348888888888889,51.63351446457352
2000-03-23,4.27,4.28,4.34,4.27,330900.0,-0.47,-0.4662004662004726,4.3133333333333335,46.85268815550055
2000-03-24,4.29,4.27,4.33,4.26,191100.0,0.47,0.4683840749414525,4.300000000000001,52.27217287089378
2000-03-27,4.61,4.29,4.61,4.29,284780.0,7.46,7.459207459207473,4.335555555555556,55.31859967347843
2000-03-28,4.42,4.52,4.53,4.4,211980.0,-4.12,-4.12147505422994,4.34,44.96602045349909
2000-03-29,4.4,4.47,4.49,4.29,272770.0,-0.45,-0.4524886877827927,4.343333333333334,38.23490052308288
2000-03-30,4.3,4.29,4.37,4.26,205710.0,-2.27,-2.272727272727282,4.34,39.09733281003058
2000-03-31,4.35,4.34,4.43,4.33,258640.0,1.16,1.162790697674421,4.3566666666666665,47.49944583979852
2000-04-03,4.32,4.34,4.34,4.24,226300.0,-0.69,-0.6896551724137834,4.361111111111111,51.350703684818406
2000-04-04,4.29,4.34,4.38,4.15,415470.0,-0.69,-0.6944444444444531,4.361111111111111,45.71367619860308
2000-04-05,4.47,4.26,4.61,4.24,503660.0,4.2,4.195804195804187,4.383333333333333,54.09773986200157
2000-04-06,4.54,4.52,4.6,4.51,312790.0,1.57,1.5659955257270708,4.411111111111111,58.3993459273256
2000-04-07,4.58,4.6,4.61,4.47,239930.0,0.88,0.8810572687224738,4.407777777777778,66.37850922488866
2000-04-10,4.47,4.53,4.53,4.43,165270.0,-2.4,-2.401746724890841,4.413333333333333,57.98251113012113
2000-04-11,4.35,4.43,4.47,4.24,273910.0,-2.68,-2.684563758389269,4.407777777777778,52.30712900014921
2000-04-12,4.45,4.38,4.52,4.36,570780.0,2.3,2.298850574712663,4.424444444444444,56.52116572730423
2000-04-13,4.35,4.43,4.57,4.34,503620.0,-2.25,-2.247191011235972,4.424444444444444,52.05429536977041
2000-04-14,4.1,4.22,4.34,4.07,528230.0,-5.75,-5.747126436781613,4.4,31.654357438126524
2000-04-17,3.96,4.06,4.12,3.69,831140.0,-3.41,-3.414634146341456,4.363333333333333,32.835477838291254
2000-04-18,3.99,3.96,3.99,3.81,636930.0,0.76,0.7575757575757569,4.31,34.814453776034924
2000-04-19,3.76,3.99,4.01,3.75,485330.0,-5.76,-5.764411027568928,4.223333333333334,31.75645635784528
2000-04-20,3.76,3.76,3.8,3.73,223990.0,0.0,0.0,4.132222222222222,29.37034182882128
2000-04-24,3.69,3.78,3.78,3.69,258530.0,-1.86,-1.8617021276595704,4.045555555555556,28.571156465176543
2000-04-25,4.02,3.83,4.05,3.83,479030.0,8.94,8.943089430894302,4.0088888888888885,42.37254620584921
2000-04-26,3.97,4.05,4.06,3.95,283210.0,-1.24,-1.243781094527352,3.955555555555556,34.755800865114594
2000-04-27,3.97,3.89,3.99,3.85,550530.0,0.0,0.0,3.913333333333333,31.846849773314133
2000-04-28,3.97,3.99,4.02,3.94,324640.0,0.0,0.0,3.8988888888888886,30.065084371777004
2000-05-02,4.07,4.0,4.11,3.96,250170.0,2.52,2.518891687657443,3.911111111111112,36.84176593110328
2000-05-03,4.05,4.04,4.06,4.0,255480.0,-0.49,-0.4914004914005065,3.917777777777778,39.43623091039949
2000-05-04,4.06,4.06,4.08,3.99,269010.0,0.25,0.2469135802469102,3.951111111111112,35.33797388598916
2000-05-05,4.05,3.99,4.11,3.99,220830.0,-0.25,-0.2463054187192059,3.983333333333333,37.902797871636935
2000-05-08,4.05,4.04,4.07,3.97,219620.0,0.0,0.0,4.023333333333333,47.47407612417602
2000-05-09,4.06,4.06,4.07,4.01,333170.0,0.25,0.2469135802469102,4.027777777777778,55.81304490392016
2000-05-10,3.99,3.97,4.04,3.97,335990.0,-1.72,-1.724137931034464,4.029999999999999,49.9992222343208
2000-05-11,3.89,3.99,4.02,3.87,450800.0,-2.51,-2.506265664160401,4.021111111111111,58.440495887087806
2000-05-12,3.92,3.93,3.96,3.86,332280.0,0.77,0.7712082262210762,4.015555555555555,59.99895001837472
2000-05-15,3.99,3.93,4.02,3.91,165370.0,1.79,1.7857142857143016,4.006666666666667,68.74879689605437
2000-05-16,4.11,4.06,4.13,4.04,350450.0,3.01,3.007518796992481,4.013333333333333,57.62575125336016
2000-05-17,4.07,4.1,4.13,4.01,162390.0,-0.97,-0.9732360097323588,4.014444444444445,58.619274707162255
2000-05-18,4.09,4.08,4.14,4.07,295870.0,0.49,0.4914004914004843,4.018888888888889,59.99860003266589
2000-05-19,3.99,4.06,4.06,3.96,295870.0,-2.44,-2.4449877750611138,4.012222222222222,51.42754287771388
2000-05-22,3.88,3.99,3.99,3.87,250820.0,-2.76,-2.7568922305764465,3.9922222222222223,36.618996245144416
2000-05-23,3.91,3.87,3.96,3.87,307320.0,0.77,0.773195876288657,3.983333333333333,40.27699461399362
2000-05-24,3.86,3.97,3.98,3.84,488710.0,-1.28,-1.278772378516635,3.98,36.84142660529938
2000-05-25,3.92,3.87,4.06,3.85,481520.0,1.55,1.5544041450777255,3.98,41.97458315535287
2000-05-26,3.88,3.93,3.94,3.86,326340.0,-1.02,-1.0204081632653073,3.967777777777778,39.99934118732162
2000-05-29,3.91,3.91,3.95,3.9,139200.0,0.77,0.773195876288657,3.945555555555556,41.37864448158309
2000-05-30,3.92,3.95,3.98,3.87,296560.0,0.26,0.2557544757033181,3.928888888888889,45.67822284553105
2000-05-31,3.87,3.93,3.99,3.87,327560.0,-1.28,-1.2755102040816313,3.9044444444444446,48.68331372843132
2000-06-01,4.05,3.91,4.06,3.9,340030.0,4.65,4.6511627906976605,3.911111111111111,57.14197803550274
2000-06-02,4.29,4.09,4.29,4.09,651170.0,5.93,5.925925925925935,3.9566666666666666,63.88806071032411
2000-06-05,4.29,4.21,4.33,4.2,283800.0,0.0,0.0,3.998888888888888,59.37413412721063
2000-06-06,4.44,4.24,4.47,4.24,560660.0,3.5,3.4965034965035,4.0633333333333335,67.28883921144957
2000-06-07,4.61,4.44,4.61,4.38,297300.0,3.83,3.828828828828823,4.14,71.31065709082027
2000-06-08,4.63,4.59,4.7,4.59,363530.0,0.43,0.433839479392617,4.223333333333334,78.06921669383004
2000-06-09,4.63,4.63,4.71,4.61,135910.0,0.0,0.0,4.303333333333333,86.40659253175198
2000-06-12,4.6,4.62,4.64,4.59,85840.0,-0.65,-0.6479481641468721,4.378888888888889,83.49401076101876
2000-06-13,4.62,4.58,4.66,4.57,270120.0,0.43,0.4347826086956718,4.462222222222222,87.99876801724776
2000-06-14,4.55,4.63,4.65,4.44,345600.0,-1.52,-1.515151515151525,4.517777777777778,81.18699344761555
2000-06-15,4.53,4.52,4.61,4.49,273020.0,-0.44,-0.4395604395604269,4.544444444444445,82.82711153579648
2000-06-16,4.66,4.56,4.71,4.53,461490.0,2.87,2.8697571743929284,4.585555555555555,84.40258565486316
2000-06-19,4.65,4.66,4.76,4.62,851510.0,-0.21,-0.2145922746781048,4.608888888888888,83.48516624557118
2000-06-20,4.7,4.74,4.74,4.61,217200.0,1.08,1.0752688172043,4.618888888888889,88.07226329203112
2000-06-21,4.75,4.72,4.81,4.7,478520.0,1.06,1.0638297872340496,4.632222222222222,86.45707250102603
2000-06-23,4.75,4.76,4.83,4.71,28120000.0,0.0,0.0,4.645555555555556,81.9428511112284
2000-06-26,4.76,4.76,4.83,4.72,23270000.0,0.21,0.210526315789461,4.663333333333333,82.19020457141919
2000-06-27,4.91,4.8,5.03,4.71,28970000.0,3.15,3.151260504201692,4.695555555555556,82.19020457141919
2000-06-28,5.03,4.98,5.09,4.98,25260000.0,2.44,2.443991853360483,4.748888888888889,80.88068775054631
2000-06-29,4.91,5.03,5.03,4.89,15450000.0,-2.39,-2.385685884691846,4.79111111111111,67.94749837823426
2000-06-30,5.03,4.98,5.07,4.98,16000000.0,2.44,2.443991853360483,4.832222222222223,72.22109878290783
2000-07-03,5.14,5.14,5.19,5.1,22760000.0,2.19,2.186878727634189,4.886666666666667,77.54991255226967
2000-07-04,5.28,5.17,5.3,5.15,21220000.0,2.72,2.723735408560324,4.951111111111112,79.99898183114034
2000-07-05,5.15,5.27,5.34,5.14,40380000.0,-2.46,-2.4621212121212155,4.995555555555556,75.86115339987279
