Data,Fechamento,Abertura,Maxima,Minima,Volume,Variacao
2000-01-06,0.44,0.43,0.44,0.43,138700.0,2.33
2000-01-07,0.43,0.44,0.44,0.43,263420.0,-2.27
2000-01-10,0.45,0.45,0.45,0.44,368050.0,4.65
2000-01-11,0.44,0.45,0.47,0.44,430470.0,-2.22
2000-01-12,0.45,0.45,0.45,0.44,392320.0,2.27
2000-01-13,0.44,0.46,0.46,0.44,369090.0,-2.22
2000-01-14,0.44,0.45,0.45,0.44,177320.0,0.0
2000-01-17,0.44,0.44,0.45,0.43,101160.0,0.0
2000-01-18,0.46,0.44,0.46,0.44,205150.0,4.55
2000-01-19,0.45,0.46,0.46,0.45,82640.0,-2.17
2000-01-20,0.45,0.44,0.46,0.44,231300.0,0.0
2000-01-21,0.45,0.45,0.46,0.44,106390.0,0.0
2000-01-24,0.44,0.44,0.46,0.44,598720.0,-2.22
2000-01-26,0.45,0.44,0.46,0.44,101500.0,2.27
2000-01-27,0.44,0.46,0.46,0.44,136780.0,-2.22
2000-01-28,0.43,0.46,0.46,0.43,419420.0,-2.27
2000-01-31,0.43,0.43,0.43,0.43,192750.0,0.0
2000-02-01,0.43,0.43,0.43,0.43,186230.0,0.0
2000-02-02,0.42,0.43,0.43,0.42,85300.0,-2.33
2000-02-03,0.43,0.44,0.44,0.43,93220.0,2.38
2000-02-04,0.44,0.44,0.44,0.43,171540.0,2.33
2000-02-07,0.43,0.44,0.44,0.43,216720.0,-2.27
2000-02-08,0.44,0.44,0.44,0.43,932060.0,2.33
2000-02-09,0.44,0.44,0.45,0.44,119800.0,0.0
2000-02-10,0.43,0.44,0.44,0.43,606110.0,-2.27
2000-02-11,0.43,0.43,0.44,0.43,365490.0,0.0
2000-02-14,0.43,0.43,0.43,0.41,200510.0,0.0
2000-02-15,0.41,0.42,0.42,0.4,262940.0,-4.65
2000-02-16,0.42,0.41,0.43,0.4,820880.0,2.44
2000-02-17,0.41,0.41,0.41,0.41,504440.0,-2.38
2000-02-18,0.42,0.41,0.43,0.41,169290.0,2.44
2000-02-21,0.43,0.41,0.45,0.41,626830.0,2.38
2000-02-22,0.42,0.44,0.44,0.42,132970.0,-2.33
2000-02-23,0.43,0.42,0.44,0.42,306440.0,2.38
2000-02-24,0.41,0.43,0.45,0.41,402800.0,-4.65
2000-02-25,0.41,0.41,0.43,0.41,508120.0,0.0
2000-02-28,0.41,0.42,0.43,0.41,76040.0,0.0
2000-02-29,0.41,0.41,0.41,0.4,693250.0,0.0
2000-03-01,0.4,0.41,0.41,0.4,635960.0,-2.44
2000-03-02,0.4,0.41,0.43,0.4,391280.0,0.0
2000-03-03,0.4,0.4,0.41,0.4,489160.0,0.0
2000-03-08,0.42,0.41,0.42,0.39,376810.0,5.0
2000-03-09,0.4,0.4,0.4,0.4,528260.0,-4.76
2000-03-10,0.42,0.41,0.42,0.4,55280.0,5.0
2000-03-13,0.4,0.4,0.4,0.38,215540.0,-4.76
2000-03-14,0.39,0.4,0.4,0.38,482050.0,-2.5
2000-03-15,0.38,0.4,0.4,0.37,709790.0,-2.56
2000-03-16,0.38,0.39,0.39,0.37,451810.0,0.0
2000-03-17,0.37,0.38,0.38,0.37,238370.0,-2.63
2000-03-20,0.35,0.37,0.37,0.34,204440.0,-5.41
2000-03-21,0.35,0.35,0.37,0.34,1070000.0,0.0
2000-03-22,0.35,0.35,0.37,0.35,2270000.0,0.0
2000-03-23,0.35,0.36,0.37,0.35,199430.0,0.0
2000-03-24,0.36,0.35,0.36,0.35,184160.0,2.86
2000-03-27,0.35,0.36,0.36,0.34,226290.0,-2.78
2000-03-28,0.34,0.35,0.35,0.34,217210.0,-2.86
2000-03-29,0.34,0.34,0.35,0.34,322370.0,0.0
2000-03-30,0.34,0.34,0.35,0.34,184880.0,0.0
2000-03-31,0.34,0.34,0.35,0.34,500120.0,0.0
2000-04-03,0.33,0.34,0.34,0.33,526960.0,-2.94
2000-04-04,0.33,0.33,0.33,0.32,833740.0,0.0
2000-04-05,0.33,0.34,0.34,0.32,336440.0,0.0
2000-04-06,0.32,0.33,0.33,0.32,248470.0,-3.03
2000-04-07,0.32,0.32,0.33,0.31,613420.0,0.0
2000-04-10,0.31,0.32,0.33,0.31,331710.0,-3.12
2000-04-11,0.31,0.32,0.32,0.31,510140.0,0.0
2000-04-12,0.32,0.32,0.33,0.31,564820.0,3.23
2000-04-13,0.31,0.32,0.32,0.31,206180.0,-3.12
2000-04-14,0.3,0.31,0.31,0.29,397930.0,-3.23
2000-04-17,0.31,0.31,0.31,0.29,284890.0,3.33
2000-04-18,0.32,0.31,0.33,0.3,514500.0,3.23
2000-04-19,0.3,0.32,0.33,0.3,209020.0,-6.25
2000-04-20,0.31,0.31,0.31,0.3,173020.0,3.33
2000-04-24,0.31,0.31,0.32,0.31,219730.0,0.0
2000-04-25,0.31,0.32,0.32,0.31,186630.0,0.0
2000-04-26,0.31,0.31,0.31,0.3,294190.0,0.0
2000-04-27,0.31,0.3,0.31,0.3,889840.0,0.0
2000-04-28,0.33,0.32,0.33,0.31,310760.0,6.45
2000-05-02,0.34,0.34,0.35,0.33,610720.0,3.03
2000-05-03,0.34,0.33,0.34,0.32,148510.0,0.0
2000-05-04,0.33,0.34,0.34,0.33,93010.0,-2.94
2000-05-05,0.33,0.33,0.33,0.32,146990.0,0.0
2000-05-08,0.32,0.33,0.33,0.32,166520.0,-3.03
2000-05-09,0.32,0.32,0.33,0.32,171010.0,0.0
2000-05-10,0.31,0.32,0.32,0.31,234570.0,-3.12
2000-05-11,0.32,0.33,0.33,0.31,247120.0,3.23
2000-05-12,0.32,0.32,0.32,0.31,268890.0,0.0
2000-05-15,0.32,0.32,0.33,0.31,90650.0,0.0
2000-05-16,0.32,0.32,0.33,0.32,277130.0,0.0
2000-05-17,0.33,0.32,0.33,0.32,188870.0,3.13
2000-05-18,0.32,0.32,0.33,0.32,90760.0,-3.03
2000-05-19,0.33,0.32,0.33,0.32,62660.0,3.13
2000-05-22,0.32,0.32,0.32,0.31,783630.0,-3.03
2000-05-23,0.31,0.33,0.33,0.31,158620.0,-3.12
2000-05-24,0.32,0.31,0.32,0.3,138370.0,3.23
2000-05-25,0.31,0.33,0.33,0.31,190040.0,-3.12
2000-05-26,0.32,0.31,0.32,0.31,47060.0,3.23
2000-05-29,0.32,0.32,0.32,0.31,267000.0,0.0
2000-05-30,0.32,0.32,0.32,0.31,224800.0,0.0
2000-05-31,0.31,0.32,0.32,0.29,257540.00000000003,-3.12
2000-06-01,0.31,0.31,0.31,0.31,203990.0,0.0
2000-06-02,0.32,0.32,0.32,0.32,304950.0,3.23
2000-06-05,0.31,0.32,0.33,0.31,289170.0,-3.12
2000-06-06,0.31,0.31,0.32,0.31,164140.0,0.0
2000-06-07,0.32,0.31,0.32,0.31,175970.0,3.23
2000-06-08,0.32,0.33,0.33,0.32,222730.0,0.0
2000-06-09,0.32,0.32,0.32,0.32,30070.0,0.0
2000-06-12,0.32,0.32,0.32,0.31,308830.0,0.0
2000-06-13,0.32,0.32,0.32,0.31,202890.0,0.0
2000-06-14,0.31,0.32,0.32,0.31,598090.0,-3.12
2000-06-15,0.32,0.32,0.33,0.31,759750.0,3.23
2000-06-16,0.33,0.33,0.34,0.32,537580.0,3.13
2000-06-19,0.34,0.34,0.34,0.32,395520.0,3.03
2000-06-20,0.34,0.34,0.35,0.33,465020.0,0.0
2000-06-21,0.37,0.34,0.37,0.34,413710.0,8.82
2000-06-23,0.37,0.37,0.37,0.35,188530.0,0.0
2000-06-26,0.35,0.36,0.36,0.35,611140.0,-5.41
2000-06-27,0.36,0.35,0.36,0.35,438480.0,2.86
2000-06-28,0.35,0.36,0.37,0.35,235000.0,-2.78
2000-06-29,0.36,0.35,0.36,0.35,125570.0,2.86
2000-06-30,0.35,0.35,0.35,0.34,168260.0,-2.78
2000-07-03,0.35,0.35,0.37,0.35,100210.0,0.0
2000-07-04,0.35,0.35,0.36,0.34,248330.0,0.0
2000-07-05,0.35,0.35,0.36,0.35,154750.0,0.0
2000-07-06,0.37,0.36,0.37,0.35,533240.0,5.71
2000-07-07,0.37,0.37,0.37,0.37,334430.0,0.0
2000-07-10,0.37,0.37,0.38,0.37,417380.0,0.0
2000-07-11,0.36,0.36,0.36,0.34,285270.0,-2.7
2000-07-12,0.35,0.36,0.36,0.35,206200.0,-2.78
2000-07-13,0.34,0.35,0.36,0.34,93220.0,-2.86
2000-07-14,0.34,0.34,0.35,0.34,327210.0,0.0
2000-07-17,0.35,0.34,0.36,0.34,80960.0,2.94
2000-07-18,0.33,0.36,0.36,0.33,110220.0,-5.71
2000-07-19,0.34,0.34,0.35,0.33,186860.0,3.03
2000-07-20,0.35,0.34,0.35,0.34,78600.0,2.94
2000-07-21,0.35,0.35,0.35,0.35,158180.0,0.0
2000-07-24,0.35,0.35,0.35,0.34,116210.0,0.0
2000-07-25,0.34,0.34,0.35,0.34,99710.0,-2.86
2000-07-26,0.35,0.34,0.35,0.34,183040.0,2.94
2000-07-27,0.35,0.34,0.35,0.34,189830.0,0.0
2000-07-28,0.34,0.35,0.35,0.34,76480.0,-2.86
2000-07-31,0.34,0.34,0.34,0.34,38960.0,0.0
2000-08-01,0.34,0.34,0.35,0.34,76970.0,0.0
2000-08-02,0.34,0.34,0.34,0.33,305250.0,0.0
2000-08-03,0.35,0.33,0.35,0.33,224000.0,2.94
2000-08-04,0.34,0.35,0.35,0.34,29070.0,-2.86
2000-08-07,0.34,0.35,0.35,0.34,169270.0,0.0
2000-08-08,0.35,0.35,0.35,0.34,740630.0,2.94
2000-08-09,0.35,0.35,0.35,0.34,446310.0,0.0
2000-08-10,0.34,0.34,0.35,0.34,159250.0,-2.86
2000-08-11,0.34,0.34,0.35,0.34,274540.0,0.0
2000-08-14,0.35,0.34,0.36,0.34,406900.0,2.94
2000-08-15,0.35,0.35,0.35,0.35,279220.0,0.0
2000-08-16,0.33,0.34,0.35,0.33,980250.0,-5.71
2000-08-17,0.35,0.34,0.35,0.34,631820.0,6.06
2000-08-18,0.34,0.35,0.35,0.34,114120.0,-2.86
2000-08-21,0.34,0.34,0.34,0.33,137320.0,0.0
2000-08-22,0.34,0.34,0.35,0.34,275260.0,0.0
2000-08-23,0.34,0.34,0.35,0.34,203990.0,0.0
2000-08-24,0.34,0.34,0.34,0.34,56920.0,0.0
2000-08-25,0.35,0.35,0.35,0.34,538080.0,2.94
2000-08-28,0.35,0.34,0.35,0.34,521409.99999999994,0.0
2000-08-29,0.35,0.34,0.35,0.34,256959.99999999997,0.0
2000-08-30,0.34,0.35,0.35,0.34,393850.0,-2.86
2000-08-31,0.34,0.34,0.34,0.33,394720.0,0.0
2000-09-01,0.35,0.34,0.35,0.34,634080.0,2.94
2000-09-04,0.36,0.35,0.36,0.35,573580.0,2.86
2000-09-05,0.35,0.36,0.36,0.35,336380.0,-2.78
2000-09-06,0.35,0.35,0.36,0.35,196790.0,0.0
2000-09-08,0.35,0.36,0.36,0.35,185910.0,0.0
2000-09-11,0.35,0.35,0.35,0.34,155050.0,0.0
2000-09-12,0.35,0.35,0.35,0.34,153680.0,0.0
2000-09-13,0.36,0.34,0.36,0.34,253630.0,2.86
2000-09-14,0.35,0.35,0.36,0.34,108210.0,-2.78
2000-09-15,0.34,0.34,0.34,0.34,83670.0,-2.86
2000-09-18,0.34,0.34,0.34,0.34,157270.0,0.0
