Data,Fechamento_Previsto
2025-05-07,28.557165
2025-05-08,28.604923
2025-05-09,28.602392
2025-05-12,28.57263
2025-05-13,28.52718
2025-05-14,28.473036
2025-05-15,28.413921
2025-05-16,28.352066
2025-05-19,28.28967
2025-05-20,28.226149
2025-05-21,28.162817
2025-05-22,28.100021
2025-05-23,28.037376
2025-05-26,27.975723
2025-05-27,27.914661
2025-05-28,27.85398
2025-05-29,27.794186
2025-05-30,27.735384
2025-06-02,27.67715
2025-06-03,27.619743
2025-06-04,27.563316
2025-06-05,27.507431
2025-06-06,27.452286
2025-06-09,27.397219
2025-06-10,27.343697
2025-06-11,27.290524
2025-06-12,27.238096
2025-06-13,27.186375
2025-06-16,27.134699
2025-06-17,27.084057
2025-06-18,27.03361
2025-06-19,26.983763
2025-06-20,26.934862
2025-06-23,26.886017
2025-06-24,26.837362
2025-06-25,26.789734
2025-06-26,26.742558
2025-06-27,26.696196
2025-06-30,26.649878
2025-07-01,26.604214
2025-07-02,26.559223
2025-07-03,26.514284
2025-07-04,26.470009
2025-07-07,26.426226
2025-07-08,26.382668
2025-07-09,26.33918
2025-07-10,26.296495
2025-07-11,26.255047
2025-07-14,26.212904
2025-07-15,26.171701
2025-07-16,26.130888
2025-07-17,26.090282
2025-07-18,26.05071
2025-07-21,26.010757
2025-07-22,25.971457
2025-07-23,25.932604
2025-07-24,25.893656
2025-07-25,25.854816
2025-07-28,25.817644
2025-07-29,25.780853
